date,weather,temperature_high,temperature_low
2018年01月01日,多云/多云,22℃,10℃
2018年01月01日,多云/多云,22℃,10℃
2018年01月02日,多云/小雨,20℃,10℃
2018年01月03日,小雨/小雨,14℃,10℃
2018年01月04日,晴/晴,19℃,7℃
2018年01月05日,晴/晴,23℃,7℃
2018年01月06日,晴/晴,22℃,5℃
2018年01月07日,晴/晴,23℃,6℃
2018年01月08日,晴/晴,22℃,5℃
2018年01月09日,晴/多云,22℃,6℃
2018年01月10日,多云/多云,16℃,8℃
2018年01月11日,多云/小雨,14℃,9℃
2018年01月12日,小雨/多云,14℃,7℃
2018年01月13日,多云/多云,18℃,10℃
2018年01月14日,多云/多云,20℃,8℃
2018年01月15日,晴/晴,22℃,8℃
2018年01月16日,晴/晴,20℃,8℃
2018年01月17日,晴/晴,23℃,7℃
2018年01月18日,晴/晴,23℃,7℃
2018年01月19日,晴/晴,24℃,8℃
2018年01月20日,晴/晴,24℃,8℃
2018年01月21日,晴/晴,22℃,8℃
2018年01月22日,晴/晴,24℃,7℃
2018年01月23日,晴/晴,24℃,9℃
2018年01月24日,晴/晴,26℃,10℃
2018年01月25日,晴/晴,24℃,8℃
2018年01月26日,晴/晴,26℃,9℃
2018年01月27日,晴/晴,23℃,8℃
2018年01月28日,晴/晴,22℃,8℃
2018年01月29日,晴/晴,23℃,8℃
2018年01月30日,晴/晴,21℃,6℃
2018年01月31日,多云/多云,15℃,6℃
2018年02月01日,晴/多云,21℃,8℃
2018年02月02日,小雨/小雨,12℃,6℃
2018年02月03日,小雨/多云,12℃,5℃
2018年02月04日,多云/多云,15℃,5℃
2018年02月05日,多云/阴,9℃,4℃
2018年02月06日,多云/多云,17℃,6℃
2018年02月07日,多云/多云,22℃,9℃
2018年02月08日,多云/多云,20℃,8℃
2018年02月09日,晴/晴,25℃,9℃
2018年02月10日,多云/晴,28℃,8℃
2018年02月11日,晴/多云,26℃,8℃
2018年02月12日,晴/晴,28℃,8℃
2018年02月13日,晴/晴,29℃,9℃
2018年02月14日,晴/晴,30℃,10℃
2018年02月15日,晴/晴,28℃,8℃
2018年02月16日,晴/晴,30℃,9℃
2018年02月17日,晴/晴,29℃,10℃
2018年02月18日,晴/晴,30℃,12℃
2018年02月19日,晴/晴,29℃,11℃
2018年02月20日,晴/多云,30℃,11℃
2018年02月21日,晴/晴,30℃,10℃
2018年02月22日,晴/晴,28℃,13℃
2018年02月23日,晴/晴,26℃,12℃
2018年02月24日,多云/晴,28℃,11℃
2018年02月25日,晴/晴,28℃,12℃
2018年02月26日,多云/多云,29℃,11℃
2018年02月27日,晴/晴,30℃,11℃
2018年02月28日,晴/多云,29℃,-8℃
2018年03月01日,晴/晴,30℃,11℃
2018年03月02日,晴/晴,31℃,13℃
2018年03月03日,晴/多云,30℃,11℃
2018年03月04日,晴/晴,30℃,15℃
2018年03月05日,晴/晴,31℃,15℃
2018年03月06日,多云/晴,30℃,12℃
2018年03月07日,晴/多云,31℃,13℃
2018年03月08日,晴/多云,23℃,11℃
2018年03月09日,多云/多云,27℃,12℃
2018年03月10日,多云/多云,27℃,12℃
2018年03月11日,多云/多云,27℃,13℃
2018年03月12日,多云/晴,28℃,10℃
2018年03月13日,多云/多云,29℃,13℃
2018年03月14日,晴/多云,30℃,10℃
2018年03月15日,晴/多云,29℃,15℃
2018年03月16日,多云/多云,28℃,13℃
2018年03月17日,多云/多云,30℃,11℃
2018年03月18日,晴/晴,27℃,12℃
2018年03月19日,晴/晴,26℃,12℃
2018年03月20日,晴/晴,32℃,12℃
